Data 15.03.2019    Godzina 13:47               ZBR/2003-SZYBY2

Symbol                                    IloϾ   Szer     Wys     Pow.  Grub.  Poz Zlecenie             Opis						    Kolor ramki
4/16/4/16/4 (XN)(SWS)                        1     595    1203   0.715    44     1 19/0650              Climatop XN - 44mm                                szary (RAL 9023)
4/16/4/16/4 (XN)(SWS)                        1     595    1203   0.715    44     1 19/0650              Climatop XN - 44mm                                szary (RAL 9023)
4/16/4/16/4 (XN)(SWS)                        1     833    1213    1.01    44     2 19/0650              Climatop XN - 44mm                                szary (RAL 9023)
4/16/4/16/4 (XN)(SWS)                        1     350     859     0.3    44     3 19/0650              Climatop XN - 44mm                                szary (RAL 9023)
4/16/4/16/4 (XN)(SWS)                        1     350     479   0.167    44     3 19/0650              Climatop XN - 44mm                                szary (RAL 9023)
4/16/4/16/4 (XN)(SWS)                        1     350     479   0.167    44     3 19/0650              Climatop XN - 44mm                                szary (RAL 9023)
4/16/4/16/4 (XN)(SWS)                        1     350     859     0.3    44     3 19/0650              Climatop XN - 44mm                                szary (RAL 9023)
4/16/4/16/4 (XN)(SWS)                        2     330     859   0.566    44     4 19/0650              Climatop XN - 44mm                                szary (RAL 9023)
4/16/4/16/4 (XN)(SWS)                        2     330     479   0.316    44     4 19/0650              Climatop XN - 44mm                                szary (RAL 9023)
4/16/4/16/4 (XN)(SWS)                        2     330     479   0.316    44     4 19/0650              Climatop XN - 44mm                                szary (RAL 9023)
4/16/4/16/4 (XN)(SWS)                        2     330     859   0.566    44     4 19/0650              Climatop XN - 44mm                                szary (RAL 9023)
4/16/4/16/4 (XN)(SWS)                        1     535     859   0.459    44     6 19/0650              Climatop XN - 44mm                                szary (RAL 9023)
4/16/4/16/4 (XN)(SWS)                        1     535     479   0.256    44     6 19/0650              Climatop XN - 44mm                                szary (RAL 9023)
4/16/4/16/4 (XN)(SWS)                        1     535     479   0.256    44     6 19/0650              Climatop XN - 44mm                                szary (RAL 9023)
4/16/4/16/4 (XN)(SWS)                        1     535     859   0.459    44     6 19/0650              Climatop XN - 44mm                                szary (RAL 9023)
4/16/4/16/4 (XN)(SWS)                        1     723    1933   1.398    44     1 19/0709              Climatop XN - 44mm                                szary (RAL 9023)
4/16/4/16/4 (XN)(SWS)                        1     703    1943   1.366    44     2 19/0709              Climatop XN - 44mm                                szary (RAL 9023)
44.2/14/4/14/4 (SWS)                         1     509    2032   1.034    45     3 19/0709              Climatop Protect XN 44.2 Kl. P2A                  szary (RAL 9023)
4/16/4/16/4 (XN)(SWS)                        1     679    1943   1.319    44     3 19/0709              Climatop XN - 44mm                                szary (RAL 9023)
4/16/4/16/4 (XN)(SWS)                        1     713    1943   1.385    44     4 19/0709              Climatop XN - 44mm                                szary (RAL 9023)
4/16/4/16/4 (XN)(SWS)                        1     703    1943   1.366    44     5 19/0709              Climatop XN - 44mm                                szary (RAL 9023)
44.2/14/4/14/4 (SWS)                         1     509    2032   1.034    45     6 19/0709              Climatop Protect XN 44.2 Kl. P2A                  szary (RAL 9023)
4/16/4/16/4 (XN)(SWS)                        1     679    1943   1.319    44     6 19/0709              Climatop XN - 44mm                                szary (RAL 9023)
44.2/14/4/14/4 (SWS)                         1     509    2032   1.034    45     7 19/0709              Climatop Protect XN 44.2 Kl. P2A                  szary (RAL 9023)
4/16/4/16/4 (XN)(SWS)                        1     679    1943   1.319    44     7 19/0709              Climatop XN - 44mm                                szary (RAL 9023)
